arm,k,depth,batch,seq,gen,weight_bytes,oom,kv_predicted_bytes,kv_measured_over_predicted,t_decode_s,latency_ms_per_token,throughput_tok_s,peak_bytes,kv_after_prefill_bytes,kv_final_bytes
dense,1,8,1,128,16,1450240,False,622592,1.0,0.02512645800015889,1.5704036250099307,636.7789682054996,0,524288,622592
dense,1,8,2,128,16,1450240,False,1245184,1.0,0.024567250002291985,1.535453125143249,1302.5470900086327,0,1048576,1245184
dense,1,8,4,128,16,1450240,False,2490368,1.0,0.04549416699956055,2.8433854374725342,1406.7737519101781,0,2097152,2490368
dense,1,8,1,512,16,1450240,False,2195456,1.0,0.050778332999470877,3.17364581246693,315.09502291394097,0,2097152,2195456
dense,1,8,2,512,16,1450240,False,4390912,1.0,0.0588648330012802,3.6790520625800127,543.618292424342,0,4194304,4390912
dense,1,8,4,512,16,1450240,False,8781824,1.0,0.06416212499971152,4.01013281248197,997.473197782769,0,8388608,8781824
etd,2,10,1,128,16,1450240,False,778240,1.0,0.034598916998220375,2.1624323123887734,462.4422203973313,0,655360,778240
etd,2,10,2,128,16,1450240,False,1556480,1.0,0.03856495799846016,2.41030987490376,829.7688279934782,0,1310720,1556480
etd,2,10,4,128,16,1450240,False,3112960,1.0,0.06288833299913676,3.930520812446048,1017.676840009076,0,2621440,3112960
etd,2,10,1,512,16,1450240,False,2744320,1.0,0.06474054100181093,4.046283812613183,247.1403505811366,0,2621440,2744320
etd,2,10,2,512,16,1450240,False,5488640,1.0,0.07478845799778355,4.674278624861472,427.873509585508,0,5242880,5488640
etd,2,10,4,512,16,1450240,False,10977280,1.0,0.08230729100250755,5.144205687656722,777.5738846519707,0,10485760,10977280
dense,2,10,1,128,16,1779968,False,778240,1.0,0.03975204200105509,2.484502625065943,402.4950466588693,0,655360,778240
dense,2,10,2,128,16,1779968,False,1556480,1.0,0.03682729199863388,2.3017057499146176,868.9207993133747,0,1310720,1556480
dense,2,10,4,128,16,1779968,False,3112960,1.0,0.06329016700328793,3.955635437705496,1011.2155336337663,0,2621440,3112960
dense,2,10,1,512,16,1779968,False,2744320,1.0,0.06352829100069357,3.970518187543348,251.8562950139068,0,2621440,2744320
dense,2,10,2,512,16,1779968,False,5488640,1.0,0.07587862499713083,4.742414062320677,421.726144895351,0,5242880,5488640
dense,2,10,4,512,16,1779968,False,10977280,1.0,0.08105687500210479,5.066054687631549,789.5690525737407,0,10485760,10977280
etd,3,12,1,128,16,1450240,False,933888,1.0,0.04659912500210339,2.912445312631462,343.35408656874546,0,786432,933888
etd,3,12,2,128,16,1450240,False,1867776,1.0,0.04168924999976298,2.605578124985186,767.5839694929012,0,1572864,1867776
etd,3,12,4,128,16,1450240,False,3735552,1.0,0.07421887500095181,4.638679687559488,862.3143371437419,0,3145728,3735552
etd,3,12,1,512,16,1450240,False,3293184,1.0,0.07645795799908228,4.778622374942643,209.26533246142992,0,3145728,3293184
etd,3,12,2,512,16,1450240,False,6586368,1.0,0.09139574999790057,5.712234374868785,350.1256896599138,0,6291456,6586368
etd,3,12,4,512,16,1450240,False,13172736,1.0,0.09718558299937285,6.074098937460803,658.5338897479577,0,12582912,13172736
etd,1,8,1,128,16,1450240,False,622592,1.0,0.030828584000119008,1.926786500007438,518.9988615739936,0,524288,622592
etd,1,8,2,128,16,1450240,False,1245184,1.0,0.028237792001164053,1.7648620000727533,1133.2330799334757,0,1048576,1245184
etd,1,8,4,128,16,1450240,False,2490368,1.0,0.05185241700019105,3.240776062511941,1234.2722615951382,0,2097152,2490368
etd,1,8,1,512,16,1450240,False,2195456,1.0,0.054329582999343984,3.395598937458999,294.49885525889636,0,2097152,2195456
