arm,k,depth,batch,seq,gen,weight_bytes,oom,kv_predicted_bytes,kv_measured_over_predicted,t_decode_s,latency_ms_per_token,throughput_tok_s,peak_bytes,kv_after_prefill_bytes,kv_final_bytes
etd,2,20,1,1024,128,2969833472,False,191365120,1.0,7.802650299854577,60.95820546761388,16.40468239392782,3436702720,167772160,191365120
etd,2,20,2,1024,128,2969833472,False,382730240,1.0,7.820544609799981,61.09800476406235,32.73429316920008,3860704256,335544320,382730240
etd,2,20,4,1024,128,2969833472,False,765460480,1.0,7.814803919754922,61.05315562308533,65.51667901810346,4712442880,671088640,765460480
etd,2,20,8,1024,128,2969833472,False,1530920960,1.0,9.443125390447676,73.77441711287247,108.43867444944037,6416409600,1342177280,1530920960
etd,2,20,16,1024,128,2969833472,False,3061841920,1.0,16.441995999775827,128.45309374824865,124.55908638026203,9822874624,2684354560,3061841920
etd,2,20,32,1024,128,2969833472,False,6123683840,1.0,18.193927160464227,142.14005594112677,225.1300647669235,16636783616,5368709120,6123683840
etd,2,20,1,4096,128,2969833472,False,694681600,1.0,9.959341709502041,77.8073571054847,12.852255072027235,4631687680,671088640,694681600
etd,2,20,2,4096,128,2969833472,False,1389363200,1.0,10.012319250032306,78.22124414087739,25.568501523677842,6168813568,1342177280,1389363200
etd,2,20,4,4096,128,2969833472,False,2778726400,1.0,10.034851780161262,78.39727953250986,51.02217862472226,9258517504,2684354560,2778726400
etd,2,20,8,4096,128,2969833472,False,5557452800,1.0,17.114728620275855,133.70881734590512,59.83150669341406,15442099200,5368709120,5557452800
etd,2,20,16,4096,128,2969833472,False,11114905600,1.0,33.48187820054591,261.5771734417649,61.16741682569672,27807794176,10737418240,11114905600
etd,2,20,32,4096,128,2969833472,True,,,,,,,,
etd,2,20,1,16384,128,2969833472,False,2707947520,1.0,10.437832199968398,81.5455640622531,12.263082750112378,10121626624,2684354560,2707947520
etd,2,20,2,16384,128,2969833472,False,5415895040,1.0,17.65875296946615,137.9590075739543,14.497059925049694,16147939840,5368709120,5415895040
etd,2,20,4,16384,128,2969833472,False,10831790080,1.0,33.41938486043364,261.0889442221378,15.320449557591182,28197790720,10737418240,10831790080
etd,2,20,8,16384,128,2969833472,True,,,,,,,,
dense,4,28,1,1024,128,4580642816,False,267911168,1.0,10.551938639953732,82.43702062463854,12.130472358448177,5202076160,234881024,267911168
dense,4,28,2,1024,128,4580642816,False,535822336,1.0,10.641907639801502,83.13990343594924,24.055837417958934,5777632256,469762048,535822336
dense,4,28,4,1024,128,4580642816,False,1071644672,1.0,10.796489800326526,84.34757656505099,47.42282070090181,6935424000,939524096,1071644672
dense,4,28,8,1024,128,4580642816,False,2143289344,1.0,13.210618480108678,103.20795687584905,77.51340344449763,9251496960,1879048192,2143289344
dense,4,28,16,1024,128,4580642816,False,4286578688,1.0,22.317318089306355,174.3540475727059,91.76729891130275,13882174464,3758096384,4286578688
dense,4,28,32,1024,128,4580642816,False,8573157376,1.0,25.48237384017557,199.08104562637163,160.73855699982852,23145601024,7516192768,8573157376
dense,4,28,1,4096,128,4580642816,False,972554240,1.0,14.435602019540966,112.7781407776638,8.866966533625055,6804388864,939524096,972554240
dense,4,28,2,4096,128,4580642816,False,1945108480,1.0,14.622152869589627,114.23556929366896,17.50768182245004,8891047936,1879048192,1945108480
dense,4,28,4,4096,128,4580642816,False,3890216960,1.0,14.405827269889414,112.54552554601105,35.541173055029304,13092111360,3758096384,3890216960
dense,4,28,8,4096,128,4580642816,False,7780433920,1.0,23.94822925981134,187.0955410922761,42.75890250133954,21498412032,7516192768,7780433920
dense,4,28,16,4096,128,4580642816,False,15560867840,1.0,46.873322209343314,366.19782976049464,43.69223053687818,38309544960,15032385536,15560867840
dense,4,28,32,4096,128,4580642816,True,,,,,,,,
dense,4,28,1,16384,128,4580642816,False,3791126528,1.0,14.400191790424287,112.50149836268974,8.888770501314871,13898793984,3758096384,3791126528
dense,4,28,2,16384,128,4580642816,False,7582253056,1.0,24.720736550167203,193.13075429818127,10.35567850013225,22091399680,7516192768,7582253056
dense,4,28,4,16384,128,4580642816,False,15164506112,1.0,46.77450659032911,365.4258327369462,10.946133638229737,38473835520,15032385536,15164506112
dense,4,28,8,16384,128,4580642816,True,,,,,,,,
dense,3,24,1,1024,128,4043706368,False,229638144,1.0,8.825525750406086,68.94941992504755,14.503385250913848,4589261824,201326592,229638144
